autor,habitat,genero,especie,Contagem
Rounge et al 2007,água doce,Planktothrix,Planktothrix sp.,1
Rubio et al 2010,água salgada,Lyngbya,Lyngbya bouillonii,2
SELWOOD et al 2007,água doce,Aphanizomenon,Aphanizomenon issatschenkoi,1
Sabry et al 2016,água salgada,Moorena,Moorena producens,4
Saha et al 2020,terrestre,Brasilonema,Brasilonema sp.,5
Sakamoto et al 2018,terrestre,Nostoc,Nostoc commune,5
Salvador et al 2010,água salgada,Phormidium,Phormidium spp.,1
Salvador et al 2011,água salgada,Phormidium,Phormidium spp.,1
Salvador et al 2011,água salgada,Symploca,Symploca cf. hydnoides,9
Salvador-Reyes et al 2015,água salgada,Oscillatoriales,Oscillatoriales spp.,2
Sanchez et al 2010,água salobra,Lyngbya,Lyngbya majuscula,3
Sano and Kaya 1995,água doce,Oscillatoria,Oscillatoria agardhii,2
Sano and Kaya 1996,água doce,Oscillatoria,Oscillatoria agardhii,2
Sano and Kaya 1997,água doce,Oscillatoria,Oscillatoria agardhii,2
Sano et al 1998,água doce,Oscillatoria,Oscillatoria agardhii,2
Sanz et al 2015,Terrestre,Brasilonema,Brasilonema sp.,1
Sanz et al 2015,Terrestre,Desmonostoc,Desmonostoc sp.,1
Sanz et al 2015,Terrestre,Nostoc,Nostoc sp.,3
Sanz et al 2015,terrestre,Brasilonema,Brasilonema sp.,1
Sanz et al 2015,terrestre,Desmonostoc,Desmonostoc sp.,1
Sanz et al 2015,terrestre,Nostoc,Nostoc sp.,1
Sasaki et al 2011,água salgada,Lyngbya,Lyngbya sp.,2
Schneider and Adam 1994,terrestre,Anabaena,Anabaena hallensis,1
Schneider et al 1995,terrestre,Anabaena,Anabaena hallensis,12
Schumacher et al 2012,água salobra,Nodularia,Nodularia spumigena,3
Shaala et al 2013,água salgada,Lyngbya,Lyngbya majuscula,6
Shao et al 2015,água salgada,Okeania,Okeania hirsuta,1
Shao et al 2018,água salgada,Okeania,Okeania hirsuta,1
Shen et al 2021,água salgada,Lyngbya,Lyngbya sp.,4
Shin et al 1997,água doce,Anabaena,Anabaena circinalis,1
Shiota et al 2018,água salgada,Caldora,Caldora penicillata,1
Shishido et al  2015,terrestre,Anabaena,Anabaena sp.,1
Shishido et al  2015,terrestre,Nostoc,Nostoc calcicola,1
Shishido et al  2015,água doce,Anabaena,Anabaena cf. cylindrica,1
Shishido et al  2015,água doce,Anabaena,Anabaena sp.,4
Shishido et al  2015,água doce,Nostoc,Nostoc sp.,2
Shishido et al  2015,água doce,Scytonema,Scytonema sp.,1
Shishido et al 2013,terrestre,Nostoc,Nostoc sp.,4
Shishido et al 2013,água doce,Phormidium,Phormidium sp.,5
Shishido et al 2013,água salobra,Microcystis,Microcystis aeruginosa,5
Shishido et al 2013,água salobra,Microcystis,Microcystis sp.,4
Shishido et al 2017,água doce,Sphaerospermopsis,Sphaerospermopsis torques-reginae,4
Shishido et al 2017,água salgada,Nostoc,Nostoc sp.,10
Simmons et al 2006,água salgada,Symploca,Symploca sp.,1
Simmons et al 2008,água salgada,Oscillatoria,Oscillatoria nigroviridis,2
Simmons et al 2009,água salgada,Lyngbya,Lyngbya majuscula,1
Simonin et al 1992,água doce,Synechocystis,Synechocystis sp.,1
Singh et al 1999,água salgada,Lyngbya,Lyngbya majuscula,1
Sitachitta and  Gerwic 1998,água salgada,Lyngbya,Lyngbya majuscula,3
Sitachitta et al 2000,água salgada,Cyanobacterium,cyanobacterium spp.,2
Sitachitta et al 2000,água salgada,Lyngbya,Lyngbya majuscula,1
Sivonem et al 1992,água doce,Anabaena,Anabaena flos-aquae,6
Sivonen et al  1990,água doce,Nostoc,Nostoc sp.,4
Sivonen et al  1992,água doce,Nostoc,Nostoc sp.,7
Sivonen et al 1992,água doce,Microcystis,Microcystis aeruginosa,5
Sonjoukhan et al 1991,terrestre,Tolypothrix,Tolypothrix tjipanasensis,15
Soria-Mercado et al 2009,água salgada,Lyngbya,Lyngbya bouillonii,1
Soriente et al 1994,água salgada,Nodularia,Nodularia harveyana,1
Spoof et al  2016,água salobra,cyanobacterium,cyanobacterium spp.,1
Stewart et al 2018,água doce,Microcystis,Microcystis aeruginosa,5
Stierle et al  1998,água doce,Gloeotrichia,Gloeotrichia sp.,1
Stratmann et al  1994,terrestre,Aulosira,Aulosira fertilissima,1
Sueyoshi et al 2016,água salgada,Okeania,Okeania sp.,1
Sueyoshi et al 2017,água salgada,Moorena,Moorena producens,3
Sueyoshi et al 2017,água salgada,Okeania,Okeania sp.,1
Sueyoshi et al 2018,água salgada,Okeania,Okeania sp.,2
Sulivan et al 2020,água doce,Oscillatoria,cf. Oscillatoria sp.,2
Sulivan et al 2021,água doce,Phormidium,cf. Phormidium sp.,1
Sulivan et al 2021,água doce,Trichormus,cf. Trichormus sp.,1
Sumimoto et al 2016,água salgada,Moorena,Moorena bouillonii,1
Sumimoto et al 2019,água salgada,Okeania,Okeania hirsuta,1
Suo et al 2020,água salgada,Symploca,Symploca sp.,4
Sweeney-Jones et al 2020,água salgada,Moorena,Moorena producens,5
Takaishi et al 2005,terrestre,Nostoc,Nostoc punctiforme,7
Tan et al 2000,água salgada,Lyngbya,Lyngbya majuscula,2
Tan et al 2002,água salgada,Lyngbya,Lyngbya bouillonii,1
Tan et al 2003,água salgada,Lyngbya,Lyngbya majuscula,6
Tan et al 2008,água salgada,Lyngbya,Lyngbya majuscula,2
Tan et al 2013,água salgada,Moorena,Moorena bouillonii,3
Tang et al 2019,água salgada,Lyngbya,Lyngbya sp.,8
Taniguchi et al 2010,água salgada,Lyngbya,Lyngbya majuscula,1
Tao et al 2018,água salgada,Phormidium,cf. Phormidium sp.,9
Taori et al  2007,água salgada,Lyngbya,Lyngbya confervoides,2
Taori et al  2007,água salgada,Lyngbya,Lyngbya sp.,2
Taori et al  2008,água salgada,Symploca,Symploca sp.,1
Taori et al  2008,água salobra,Lyngbya,Lyngbya sp.,4
Tellez et al 2001,água doce,Oscillatoria,Oscillatoria perornata,16
Teruya et al  2005,água salgada,Phormidium,Phormidium sp.,2
Teruya et al  2009,água salgada,Lyngbya,Lyngbya sp.,1
Teta et al 2015,água doce,Microcystis,Microcystis aeruginosa,8
Teta et al 2019,água salgada,Trichodesmium,Trichodesmium sp.,2
Thammana et al 2006,água doce,Anabaena,Anabaena sp.,1
Thornburg et al 2011,água salgada,Leptolyngbya,Leptolyngbya sp.,3
Thornburg et al 2013,água salobra,Moorena,Moorena producens,7
Tidgewell et al 2010,água salgada,Lyngbya,Lyngbya bouillonii,2
Todd and Gerwick 1995,água salgada,Lyngbya,Lyngbya majuscula,2
Todd et al 1995,água salgada,Lyngbya,Lyngbya majuscula,4
Tomek et al 2015,terrestre,Desmonostoc,Desmonostoc muscorum,2
Tooming-Klunderud et al 2007,água doce,Microcystis,Microcystis cf. wesenbergii,1
Tripathi et al 2009,água salgada,Lyngbya,Lyngbya majuscula,1
Tripathi et al 2010,água salgada,Lyngbya,Lyngbya majuscula,4
Tripathi et al 2011,água salgada,Lyngbya,Lyngbya majuscula,1
Tsui et al 1996,água salgada,Kyrtuthrix,Kyrtuthrix maculans,1
Ueoka et al 2015,terrestre,Scytonema,Scytonema sp.,1
Ueoka et al 2015,água doce,Planktothrix,Planktothrix paucivesiculata,1
Vasas et al 2006,água doce,Microcystis,Microcystis aeruginosa,3
Vegman and Carmeli 2013,água doce,Microcystis,Microcystis sp.,18
Vegman and Carmeli 2014,água doce,Microcystis,Microcystis spp.,6
Vehgman and Carmeli 2014,água doce,Microcystis,Microcystis spp.,6
Via et al 2018,água salgada,Trichodesmium,Trichodesmium sp.,4
Vininget al 2015,água salgada,Leptolyngbya,Leptolyngbya sp.,2
Volkmann et al  2006,água salgada,Euhalothece,Euhalothece sp.,1
Voračova et al 2017,água salgada,Nodularia,Nodularia sp.,1
Watanabe et al 2015,água salgada,Lyngbya,Lyngbya sp.,3
Welker and Erhard 2007,água doce,Planktothrix,Planktothrix rubescens,16
Welker et al 2004,água doce,Microcystis,Microcystis sp.,45
Welker et al 2004,água doce,Planktothrix,Planktothrix sp.,10
Welker et al 2006,água doce,Microcystis,Microcystis sp.,60
William et al 2002,água salgada,Symploca,Symploca sp.,1
William et al 2003,água salgada,Symploca,Symploca sp.,3
Williams et al 1996,água doce,Microcystis,Microcystis aeruginosa,2
Williams et al 2002,água salgada,Lyngbya,Lyngbya confervoides,1
Williams et al 2003,água salgada,Lyngbya,Lyngbya majuscula,3
Williams et al 2003,água salgada,Lyngbya,Lyngbya sp.,4
Williams et al 2004,água salgada,Symploca,Symploca sp.,5
Williamson et al 2002,água salgada,Phormidium,Phormidium sp.,1
Wong et al  2002,água salgada,Kyrtuthrix,Kyrtuthrix maculans,1
Wood et al 2008,água doce,Nostoc,Nostoc sp.,8
Wu et al 1997,água salgada,Lyngbya,Lyngbya majuscula,3
Wu et al 2000,água salgada,Lyngbya,Lyngbya majuscula,1
Yamano et al 2020,água salgada,Okeania,Okeania sp.,5
Yamano et al 2021,água salgada,Okeania,Okeania sp.,2
Yang et al 1993,terrestre,Nostoc,Nostoc sp.,2
Yilmaz et al 2019,água doce,Microcystis,Microcystis aeruginosa,13
Youssef et al 2014,água salgada,Moorena,Moorena producens,6
Youssef et al 2016,água salgada,Moorena,Moorena producens,5
Yu et al 2019,água salgada,Moorena,Moorena producens,17
Zafrir-Ilan and Carmeli 2010,água doce,Microcystis,Microcystis sp.,11
Zainuddin et al 2007,água doce,Microcystis,Microcystis ichthyoblabe,2
Zainuddin et al 2009,água doce,Lyngbya,Lyngbya sp.,4
Zang et al 2017,água salgada,Caldora,cf. Caldora penicillata,2
Zelík et al 2010,terrestre,Nostoc,Nostoc sp.,1
Zhang et al 1997,água salgada,Lyngbya,Lyngbya majuscula,1
Zhang et al 2006,água doce,Synechocystis,Synechocystis sp.,1
Zi et al 2012,água doce,Lyngbya,Lyngbya sp.,4
