autor,bioatividade,classe,Contagem
Murakami et al  2000,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Murakami et al 1995,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Okino et al 1995,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Okino et al 1997,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Rubio et al 2010,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Sano et al 2005,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Sanz et al 2017,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Taori et al  2008,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Yakami et al  2005,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Zi et al 2012,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
shin et al 1997,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,2
Al-Awadhi et al 2017,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Baumann et al 2007,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Beattie et al 2000,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Bister et al 2004,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Choi et al 2008,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Gademann et al 2010,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Gunasekera et al 2010,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Ishida et al 1995,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Jakobi et al 1995,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Kanamori et al 2016,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Kang et al 2012,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Laub et al 2002,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Linington et al 2008,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Liu et al 2015,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Matthew et al 2008,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Mazur-Marzec et al 2018,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Molinski et al 2012,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Murakami et al 1994,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Ozaki et al 2019,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Phan et al 2022,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Philmus et al 2008,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Reshef and Carmeli 2002,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Rohlack et al 2003,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Sano and Kaya 1995,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Sano and Kaya 1996,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Sasaki et al 2011,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Shin et al 1997,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Sieber et al 2020,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Spoof et al  2016,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Stewart et al 2018,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Strangman et al 2018,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Sulivan et al 2021,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
shin et al 1995,Inibidor proteico/ enzimático,Peptídeos e Lipopeptídeos,1
Iwasaki et al 2017,Inibidor proteico/ enzimático,Terpenoides e Esteroides,3
Nagle et al 2000,Metabólicos e Reguladores Celulares,Acilamidos e Ácidos Graxos,1
Sueyoshi et al 2017,Metabólicos e Reguladores Celulares,Acilamidos e Ácidos Graxos,1
Inuzuka et al 2014,Metabólicos e Reguladores Celulares,Compostos Miscelâneos e Diversos,1
Popplewell et al 2011,Metabólicos e Reguladores Celulares,Macrolídeos e Polícetídeos,2
Shiota et al 2018,Metabólicos e Reguladores Celulares,Macrolídeos e Polícetídeos,1
Williamson et al 2002,Metabólicos e Reguladores Celulares,Macrolídeos e Polícetídeos,1
Sueyoshi et al 2018,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,2
Yamano et al 2021,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,2
Cai et al 2017,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,1
Iwasaki et al 2021,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,1
Nagle et al 1996,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,1
Nakamura et al 2018,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,1
Ozaki et al 2019,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,1
Tsukamoto et al  1993,Metabólicos e Reguladores Celulares,Peptídeos e Lipopeptídeos,1
Orjala and Gerwick 1996,Moluscicida,Alcaloides,1
Sitachitta et al 2000,Moluscicida,Compostos Heterocíclicos,1
Pereira et al 2011,Moluscicida,Compostos heterocíclicos,2
Jaki et al 2000,Moluscicida,Compostos heterocíclicos,1
Pereira et al  2010,Moluscicida,Macrolídeos e Polícetídeos,1
Orjala et al 1995,Moluscicida,Peptídeos e Lipopeptídeos,1
Tan et al 2000,Moluscicida,Terpenoides e Esteroides,2
Höckelmann and Jüttner 2005,Odorantes,Compostos Orgânicos Voláteis,25
Gross et al 2010,Outros,Acilamidos e Ácidos Graxos,2
Jiménez et al 2009,Outros,Acilamidos e Ácidos Graxos,2
Wong et al  2002,Outros,Lactonas,1
Gregson et al  1992,Outros,Peptídeos e Lipopeptídeos,1
Joukela et al 2010,Outros,Peptídeos e Lipopeptídeos,1
Kirviranta et al 1992,Outros,Peptídeos e Lipopeptídeos,1
Liu et al 2014,Outros,Peptídeos e Lipopeptídeos,1
Simmons et al 2008,Outros,Peptídeos e Lipopeptídeos,1
Todorova et al  1995,Outros,Peptídeos e Lipopeptídeos,1
Proteau et al 1993,Protetores-UV,Compostos Aromáticos e Fenólicos,1
Ploutno and Carmeli 2001,Protetores-UV,Compostos aromáticos e fenólicos,2
Rastogi et al 2015,Protetores-UV,MAAs,6
Richa and Sinha 2015,Protetores-UV,MAAs,2
Ishihara et al  2017,Protetores-UV,MAAs,1
Zhang et al 2006,Protetores-UV,MAAs,1
Aimi et al 1990,Relacionados ao Sistema Imunológico,Alcaloides,2
Yamano et al 2020,Relacionados ao Sistema Imunológico,Macrolídeos e Polícetídeos,5
Gunasekera et al 2016,Relacionados ao Sistema Imunológico,Macrolídeos e Polícetídeos,2
Mori et al 2015,Relacionados ao Sistema Imunológico,Macrolídeos e Polícetídeos,1
KOEHN et al 1992,Relacionados ao Sistema Imunológico,Peptídeos e Lipopeptídeos,2
Malloy et al 2011,Relacionados ao Sistema Imunológico,Peptídeos e Lipopeptídeos,1
Zhang et al 1997,Relacionados ao Sistema Imunológico,Peptídeos e Lipopeptídeos,1
Namikoshi et al  2004,Toxina,Alcaloides,5
Gunasekera et al 2008,Toxina,Alcaloides,2
James et al 1998,Toxina,Alcaloides,2
Namikoshi et al  1994,Toxina,Alcaloides,2
Devlin et al  1977,Toxina,Alcaloides,1
SELWOOD et al 2007,Toxina,Alcaloides,1
SKULBERG et  al 1992,Toxina,Alcaloides,1
Wu et al 2000,Toxina,Alcaloides,1
Miles et al 2013,Toxina,Peptídeos e Lipopeptídeos,39
Hummert et al 2001,Toxina,Peptídeos e Lipopeptídeos,28
Puddick et al 2014,Toxina,Peptídeos e Lipopeptídeos,28
Miles et al 2014,Toxina,Peptídeos e Lipopeptídeos,25
Welker et al 2006,Toxina,Peptídeos e Lipopeptídeos,23
Niedermeyer et al 2014,Toxina,Peptídeos e Lipopeptídeos,18
Welker et al 2004,Toxina,Peptídeos e Lipopeptídeos,18
Namikoshi et al 1992,Toxina,Peptídeos e Lipopeptídeos,14
Luukkainen et al 1994,Toxina,Peptídeos e Lipopeptídeos,13
Yilmaz et al 2019,Toxina,Peptídeos e Lipopeptídeos,13
Bouhaddada et al 2016,Toxina,Peptídeos e Lipopeptídeos,12
Namikoshi et al 1995,Toxina,Peptídeos e Lipopeptídeos,11
Shishido et al 2013,Toxina,Peptídeos e Lipopeptídeos,11
Ballot et al 2020,Toxina,Peptídeos e Lipopeptídeos,10
Mallia et al 2019,Toxina,Peptídeos e Lipopeptídeos,10
QI et al 2014,Toxina,Peptídeos e Lipopeptídeos,10
Elkobi-Peer  et al 2012,Toxina,Peptídeos e Lipopeptídeos,9
Adiv and Carmeli 2013,Toxina,Peptídeos e Lipopeptídeos,8
Diehnelt et al 2006,Toxina,Peptídeos e Lipopeptídeos,8
Kaasalainen et al 2009,Toxina,Peptídeos e Lipopeptídeos,8
Namikoshi et al  1992,Toxina,Peptídeos e Lipopeptídeos,8
Okello et al 2010,Toxina,Peptídeos e Lipopeptídeos,8
Wood et al 2008,Toxina,Peptídeos e Lipopeptídeos,8
Mahakhant et al 2006,Toxina,Peptídeos e Lipopeptídeos,7
Puddick et al  2015,Toxina,Peptídeos e Lipopeptídeos,7
Sano et al 2008,Toxina,Peptídeos e Lipopeptídeos,7
Sivonen et al  1992,Toxina,Peptídeos e Lipopeptídeos,7
Erhard et al 1997,Toxina,Peptídeos e Lipopeptídeos,6
LUUKKAINEN et al 1993,Toxina,Peptídeos e Lipopeptídeos,6
Sivonem et al 1992,Toxina,Peptídeos e Lipopeptídeos,6
del Campo and Ouahid 2010,Toxina,Peptídeos e Lipopeptídeos,6
Craig et al 1993,Toxina,Peptídeos e Lipopeptídeos,5
Czarnecki et al 2005,Toxina,Peptídeos e Lipopeptídeos,5
Lifshits and Carmeli 2012,Toxina,Peptídeos e Lipopeptídeos,5
Mayumi et al 2006,Toxina,Peptídeos e Lipopeptídeos,5
Sivonen et al 1992,Toxina,Peptídeos e Lipopeptídeos,5
Vehgman and Carmeli 2014,Toxina,Peptídeos e Lipopeptídeos,5
Christiansen et al 2008,Toxina,Peptídeos e Lipopeptídeos,4
Elkobi-Peer and Carmeli 2015,Toxina,Peptídeos e Lipopeptídeos,4
Farias et al 2006,Toxina,Peptídeos e Lipopeptídeos,4
Fewer et al 2009,Toxina,Peptídeos e Lipopeptídeos,4
Fewer et al 2013,Toxina,Peptídeos e Lipopeptídeos,4
Sivonen et al  1990,Toxina,Peptídeos e Lipopeptídeos,4
Stewart et al 2018,Toxina,Peptídeos e Lipopeptídeos,4
Teta et al 2015,Toxina,Peptídeos e Lipopeptídeos,4
Zafrir-Ilan and Carmeli 2010,Toxina,Peptídeos e Lipopeptídeos,4
Beattie et al 1998,Toxina,Peptídeos e Lipopeptídeos,3
Ferranti et al 2009,Toxina,Peptídeos e Lipopeptídeos,3
Fujii et al  1997,Toxina,Peptídeos e Lipopeptídeos,3
Grach-Pogrebinsky and Carmeli 2008,Toxina,Peptídeos e Lipopeptídeos,3
Grach-Pogrebinsky et al 2004,Toxina,Peptídeos e Lipopeptídeos,3
Harada et al 1991,Toxina,Peptídeos e Lipopeptídeos,3
Ishida et al 2002,Toxina,Peptídeos e Lipopeptídeos,3
Liu et al 2015,Toxina,Peptídeos e Lipopeptídeos,3
Okello et al 2009,Toxina,Peptídeos e Lipopeptídeos,3
Puddick et al  2013,Toxina,Peptídeos e Lipopeptídeos,3
Raveh and Carmeli 2008,Toxina,Peptídeos e Lipopeptídeos,3
Strangman and Wright 2016,Toxina,Peptídeos e Lipopeptídeos,3
Suo et al 2020,Toxina,Peptídeos e Lipopeptídeos,3
Vasas et al 2006,Toxina,Peptídeos e Lipopeptídeos,3
Welker and Erhard 2007,Toxina,Peptídeos e Lipopeptídeos,3
Azevedo et al 1994,Toxina,Peptídeos e Lipopeptídeos,2
Brittain et al 2000,Toxina,Peptídeos e Lipopeptídeos,2
Carneiro et al 2012,Toxina,Peptídeos e Lipopeptídeos,2
Harada et al 1990,Toxina,Peptídeos e Lipopeptídeos,2
Laub et al 2002,Toxina,Peptídeos e Lipopeptídeos,2
Mazur-Marzec  et al 2016,Toxina,Peptídeos e Lipopeptídeos,2
Mazur-Marzec et al 2013,Toxina,Peptídeos e Lipopeptídeos,2
Mermuoto et al 1989,Toxina,Peptídeos e Lipopeptídeos,2
Namikoshi et al  1990,Toxina,Peptídeos e Lipopeptídeos,2
Sano and  Kaya 1998,Toxina,Peptídeos e Lipopeptídeos,2
Sano et al 1998,Toxina,Peptídeos e Lipopeptídeos,2
Vegman and Carmeli 2013,Toxina,Peptídeos e Lipopeptídeos,2
Bateman et al 1993,Toxina,Peptídeos e Lipopeptídeos,1
Gesner-Apter and Carmeli 2008,Toxina,Peptídeos e Lipopeptídeos,1
Gregson et al  1992,Toxina,Peptídeos e Lipopeptídeos,1
He et al 2018,Toxina,Peptídeos e Lipopeptídeos,1
KRISHNAMURTHY et al 1989,Toxina,Peptídeos e Lipopeptídeos,1
Matthiensen et al 2000,Toxina,Peptídeos e Lipopeptídeos,1
Nagle et al 2001,Toxina,Peptídeos e Lipopeptídeos,1
Namikoshi et al  1994,Toxina,Peptídeos e Lipopeptídeos,1
Neuman et al 1997,Toxina,Peptídeos e Lipopeptídeos,1
Phan et al 2022,Toxina,Peptídeos e Lipopeptídeos,1
Ploutno et al 2002,Toxina,Peptídeos e Lipopeptídeos,1
Puddick et al 2013,Toxina,Peptídeos e Lipopeptídeos,1
Sano et al 2004,Toxina,Peptídeos e Lipopeptídeos,1
nan,Toxina,Peptídeos e Lipopeptídeos,1
Admi et al 1996,Tóxico em equinoderma,Compostos Miscelâneos e Diversos,1
Murakami et al 1991,Tóxico em equinoderma,Macrolídeos e Polícetídeos,1
Levert et al 2018,Tóxico em equinoderma,Peptídeos e Lipopeptídeos,3
Kan et al 2000,Tóxico para lagostins,Acilamidos e Ácidos Graxos,2
Papendorf et al 1997,Tóxico para peixes,Acilamidos e Ácidos Graxos,1
Todd and Gerwick 1995,Tóxico para peixes,Acilamidos e Ácidos Graxos,1
Edwards et al 2004,Tóxico para peixes,Alcaloides,2
Papendorf et al 1997,Tóxico para peixes,Derivados isoprenoides e carotenoides,1
Orjala et al 1995,Tóxico para peixes,Peptídeos e Lipopeptídeos,2
Edwards et al 2004,Tóxico para peixes,Peptídeos e Lipopeptídeos,1
Graber and Gerwick 1998,Tóxico para peixes,Peptídeos e Lipopeptídeos,1
Nagle et al 2001,Tóxico para peixes,Peptídeos e Lipopeptídeos,1
Tan et al 2000,Tóxico para peixes,Terpenoides e Esteroides,1
